   6.9634935e+00   5.4889957e+00   5.1377662e+00   7.4892013e+00   6.1121125e+00   5.8333957e+00   5.3489034e+00   5.6991405e+00   7.3558039e+00   6.8856787e+00   5.7848585e+00   5.8458487e+00   5.5896300e+00   6.4623368e+00   4.9718803e+00   5.8902425e+00   2.6837278e+00   5.5832590e+00   6.5369792e+00   6.5269878e+00
   7.4813695e+00   5.1683790e+00   5.1824080e+00   6.9903554e+00   6.7826165e+00   6.1157795e+00   5.6062277e+00   5.6088555e+00   6.0108999e+00   7.8736884e+00   5.9018189e+00   5.8111854e+00   6.1937458e+00   6.7463188e+00   5.1597547e+00   6.3245260e+00   2.7531442e+00   5.1380969e+00   6.9764034e+00   5.9157179e+00
   6.9233609e+00   5.6785658e+00   4.8172373e+00   6.6388786e+00   6.2957073e+00   6.4440615e+00   5.8833457e+00   6.3492091e+00   6.0752834e+00   6.4816444e+00   5.5651852e+00   5.4085284e+00   5.6730220e+00   6.1511915e+00   5.1347624e+00   6.1007388e+00   2.8410805e+00   5.6968298e+00   6.9135838e+00   5.7837665e+00
   7.0638433e+00   5.2483444e+00   5.2473660e+00   7.0100998e+00   6.3956647e+00   6.7087655e+00   6.5750958e+00   6.2408569e+00   5.9717117e+00   7.1781353e+00   5.7551463e+00   5.6543465e+00   5.8552444e+00   6.5668352e+00   4.8358988e+00   6.0311102e+00   3.0227958e+00   5.4639640e+00   6.9767557e+00   6.7948313e+00
   7.4767089e+00   5.2055399e+00   5.1871388e+00   6.8940255e+00   6.9354261e+00   6.1511440e+00   5.8024742e+00   5.7703127e+00   6.4333199e+00   6.1920993e+00   6.8220465e+00   5.7939697e+00   5.8309530e+00   6.5526311e+00   5.3865346e+00   6.2912867e+00   2.7955569e+00   6.3397206e+00   6.8781553e+00   6.5406480e+00
   6.9530138e+00   5.7388859e+00   4.7105649e+00   6.8200615e+00   6.4339832e+00   6.1529286e+00   5.3659911e+00   5.8536991e+00   6.1662746e+00   6.7280771e+00   5.4974846e+00   5.8166584e+00   6.4564826e+00   6.4648632e+00   5.3465336e+00   6.5571299e+00   2.9883056e+00   5.1959557e+00   6.7587656e+00   6.0634237e+00
   7.0961636e+00   5.1301965e+00   5.0486499e+00   7.2195921e+00   6.7459852e+00   6.3431564e+00   5.7138546e+00   5.9644498e+00   6.3307385e+00   6.6496286e+00   5.1642624e+00   5.9625263e+00   5.5648874e+00   6.4243552e+00   4.9466329e+00   6.1490580e+00   2.8055150e+00   5.8018029e+00   6.8731933e+00   6.2035182e+00
   6.7913796e+00   5.0017812e+00   5.6332532e+00   6.9189199e+00   6.7971082e+00   6.4379557e+00   5.7440012e+00   6.0166087e+00   6.2924933e+00   6.6570163e+00   5.5177320e+00   5.7708836e+00   6.3976894e+00   6.5419566e+00   5.2113651e+00   6.4959587e+00   3.1262456e+00   5.4289456e+00   6.7042965e+00   6.0585128e+00
   7.1758651e+00   5.2391998e+00   5.5573082e+00   7.4599902e+00   6.4545406e+00   5.9658378e+00   5.6271050e+00   6.1122686e+00   6.0276240e+00   6.9462326e+00   5.8536436e+00   5.4596377e+00   6.2717099e+00   6.6691493e+00   5.2832087e+00   6.2321498e+00   2.9368273e+00   5.3326568e+00   6.7366829e+00   6.0090275e+00
   7.1562299e+00   5.3266216e+00   5.4579015e+00   7.1851433e+00   6.3412459e+00   6.2912406e+00   6.3196960e+00   5.0560007e+00   6.1451024e+00   6.6840712e+00   5.7024079e+00   5.7645568e+00   6.8353392e+00   6.6043466e+00   5.6211929e+00   6.5200726e+00   2.6119649e+00   5.4583405e+00   7.1070860e+00   6.0545578e+00
